Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-23-62 , -0.21637 , -0.19644 , -0.36197 , -0.61614 , 0.1176 , -0.18658 , 0.16563 , -0.26393 , 7.42526 , 9.09472 , 7.53237 , 9.05615 , nan , nan , 7.36814 , 9.08581 , nan , nan , 7.33672 , 9.07357 , nan , nan , nan , nan , 7.41562 , 0.08603 , 9.07756 , 0.0167 , 
ID-23-63 , -0.23134 , -0.17346 , -0.27728 , -0.67435 , 0.14905 , -0.21947 , 0.10391 , -0.35097 , 7.29788 , 9.05507 , 7.35194 , 9.03246 , nan , nan , 7.23995 , 9.04134 , 7.3502 , 9.03741 , 7.2196 , 9.03286 , nan , nan , nan , nan , 7.29192 , 0.06117 , 9.03983 , 0.00926 , 
ID-23-64 , -0.28108 , -0.21471 , -0.30932 , -0.74547 , 0.12723 , -0.24984 , 0.09471 , -0.40091 , 7.27061 , 9.05329 , 7.30262 , 9.03778 , nan , nan , 7.17914 , 9.01395 , 7.17239 , 9.0092 , 7.13135 , 9.00843 , nan , nan , nan , nan , 7.21122 , 0.07211 , 9.02453 , 0.02005 , 
ID-23-65 , -0.35862 , -0.27481 , -0.33003 , -0.88523 , 0.12485 , -0.29234 , 0.05532 , -0.53757 , 7.19363 , 9.03008 , 7.19104 , 9.03275 , nan , nan , 7.04241 , 8.93385 , 6.93272 , 8.92921 , 6.95727 , 8.92732 , nan , nan , nan , nan , 7.06342 , 0.12453 , 8.97065 , 0.05554 , 
ID-24-21 , 0.27462 , -0.37444 , -0.16395 , -0.24446 , 0.64906 , 0.12435 , -0.2104 , -0.5792 , 7.026 , 8.69041 , 7.18237 , 8.64112 , 7.30026 , 8.61444 , 7.31682 , 8.93114 , nan , nan , 7.64311 , 8.94903 , nan , nan , nan , nan , 7.29371 , 0.22733 , 8.76523 , 0.16205 , 
ID-24-22 , 0.13014 , -0.237 , -0.02008 , -0.17296 , 0.36714 , -0.11602 , -0.21683 , -0.27377 , 6.93111 , 8.72949 , 7.03713 , 8.67796 , 7.36553 , 8.59636 , 7.42556 , 9.08715 , nan , nan , nan , nan , nan , nan , nan , nan , 7.18983 , 0.24269 , 8.77274 , 0.21665 , 
ID-24-23 , 0.06888 , -0.37351 , -0.33596 , -0.14323 , 0.44239 , 0.14527 , -0.03745 , -0.32595 , 7.25062 , 8.86591 , 7.28703 , 8.85595 , 7.5942 , 8.79527 , 7.65895 , 9.07581 , nan , nan , nan , nan , nan , nan , nan , nan , 7.4477 , 0.20876 , 8.89823 , 0.12243 , 
ID-24-24 , 0.15443 , -0.41727 , -0.48301 , -0.15086 , 0.5717 , 0.30295 , 0.06584 , -0.38797 , 7.48668 , 8.93652 , 7.6367 , 8.9036 , 7.72084 , 8.89911 , 7.77102 , 9.05388 , nan , nan , nan , nan , nan , nan , nan , nan , 7.65381 , 0.12444 , 8.94828 , 0.07235 , 
ID-24-25 , 0.20474 , -0.48804 , -0.54526 , -0.15662 , 0.69278 , 0.34854 , 0.05732 , -0.44783 , 7.508 , 8.9216 , 7.7006 , 8.87988 , 7.70235 , 8.892 , 7.7236 , 9.02266 , nan , nan , nan , nan , nan , nan , nan , nan , 7.65864 , 0.10097 , 8.92904 , 0.06483 , 
ID-24-26 , 0.20349 , -0.52126 , -0.54372 , -0.16154 , 0.72475 , 0.34147 , 0.02256 , -0.48045 , 7.44844 , 8.89003 , 7.60548 , 8.85642 , 7.64999 , 8.85912 , 7.66505 , 9.00359 , nan , nan , nan , nan , nan , nan , nan , nan , 7.59224 , 0.09915 , 8.90229 , 0.06923 , 
