Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-23-34 , -0.01907 , -0.24013 , -0.27184 , -0.59811 , 0.43135 , -0.03521 , 0.03181 , -0.53108 , 7.24794 , 8.96515 , 7.34216 , 8.93631 , 7.22876 , 8.97442 , 7.22569 , 8.95045 , 7.35945 , 8.96061 , 7.21397 , 8.94802 , nan , nan , nan , nan , 7.26966 , 0.06403 , 8.95583 , 0.01361 , 
ID-23-35 , 0.00965 , -0.22234 , -0.24347 , -0.62148 , 0.51399 , 0.06127 , 0.02123 , -0.66152 , 7.28574 , 8.937 , 7.35179 , 8.91895 , 7.20475 , 8.97063 , 7.19376 , 8.87774 , 7.19154 , 8.87651 , 7.1394 , 8.86842 , nan , nan , nan , nan , 7.22783 , 0.07687 , 8.90821 , 0.04088 , 
ID-23-36 , -0.04092 , -0.26128 , -0.3024 , -0.68424 , 0.4432 , 0.00527 , 0.04122 , -0.64828 , 7.28277 , 8.96613 , 7.33714 , 8.95063 , nan , nan , 7.16555 , 8.88204 , 7.14193 , 8.88105 , 7.08793 , 8.87223 , nan , nan , nan , nan , 7.20306 , 0.10336 , 8.91042 , 0.04429 , 
ID-23-37 , -0.06247 , -0.27587 , -0.41328 , -0.64361 , 0.35929 , 0.01954 , 0.1375 , -0.52565 , 7.46078 , 9.04024 , 7.54301 , 9.01424 , nan , nan , 7.27207 , 8.95674 , 7.28174 , 8.95921 , 7.17531 , 8.9483 , nan , nan , nan , nan , 7.34658 , 0.15059 , 8.98375 , 0.04096 , 
ID-23-38 , -0.06295 , -0.2766 , -0.41291 , -0.54249 , 0.34088 , 0.00496 , 0.13641 , -0.41105 , 7.45231 , 9.04172 , 7.53793 , 9.01388 , nan , nan , 7.38222 , 9.02075 , nan , nan , 7.3423 , 9.01486 , nan , nan , nan , nan , 7.42869 , 0.08586 , 9.0228 , 0.01297 , 
ID-23-39 , -0.04445 , -0.33638 , -0.51172 , -0.45597 , 0.35924 , 0.06987 , 0.17543 , -0.3504 , 7.56142 , 9.05982 , 7.71928 , 9.02341 , nan , nan , 7.51672 , 9.05683 , nan , nan , 7.49377 , 9.0485 , nan , nan , nan , nan , 7.5728 , 0.10161 , 9.04714 , 0.01653 , 
ID-23-40 , -0.04974 , -0.34414 , -0.58089 , -0.44265 , 0.35671 , 0.12898 , 0.23684 , -0.33479 , 7.74184 , 9.09246 , 8.17694 , 9.02742 , nan , nan , 7.62193 , 9.06977 , nan , nan , 7.53853 , 9.05689 , nan , nan , nan , nan , 7.76981 , 0.28396 , 9.06164 , 0.02714 , 
ID-23-41 , -0.05017 , -0.35895 , -0.59367 , -0.40781 , 0.35006 , 0.12103 , 0.23481 , -0.29403 , 7.73157 , 9.0923 , 8.15221 , 9.02523 , nan , nan , 7.67968 , 9.09019 , nan , nan , 7.6548 , 9.07982 , nan , nan , nan , nan , 7.80456 , 0.23396 , 9.07188 , 0.03158 , 
ID-23-42 , -0.06399 , -0.35769 , -0.57729 , -0.40802 , 0.33352 , 0.10229 , 0.2197 , -0.29062 , 7.68214 , 9.08521 , 7.96362 , 9.02633 , nan , nan , 7.65941 , 9.0903 , nan , nan , 7.65825 , 9.0814 , nan , nan , nan , nan , 7.74086 , 0.14892 , 9.07081 , 0.02988 , 
ID-23-43 , -0.07534 , -0.39983 , -0.59725 , -0.37883 , 0.30879 , 0.04023 , 0.19752 , -0.22154 , 7.59409 , 9.07982 , 7.80526 , 9.03315 , nan , nan , 7.69056 , 9.12384 , nan , nan , nan , nan , nan , nan , nan , nan , 7.69664 , 0.10572 , 9.07894 , 0.04535 , 
